station,deployment,date,time,zd,dttm,lon,lat,temp,sal,fluor,max_tension,wire_out,bottom_depth,cast_depth,volt0,volt1,volt2,volt3,volt4,volt5,sn,ctd_volt_in,ctd_volt_out,afm_volt_in,afm_volt_out
S285-002,ctd,2019-04-02,10:36:00,+13,2019-04-02T10:36+13, 174.6170,-43.5510,15.25,34.581,49.49,910,450,483,389,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13.7,13.5,11.45,11.62
S285-005,ctd,2019-04-03,10:43:00,+13,2019-04-03T10:43+13, 176.9620,-43.6324,15.92,34.638,42.49,,375,412,352,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13.5,,11.45,
S285-007,ctd,2019-04-04,10:35:00,+13,2019-04-04T10:35+13, 179.2200,-43.9192,15.58,34.471,16.06,900,499,540,490,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13.3,13.1,11.28,11.3
S285-009,ctd,2019-04-05,10:11:00,+13,2019-04-05T10:11+13,-177.5557,-44.1113,17.68,34.954, 9.59,595,400,463,391,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13.1,13,11.2,11.21
S285-012,ctd,2019-04-06,22:47:00,-11,2019-04-06T22:47-11,-176.1822,-40.9634,18.81,35.350, 4.62,585,400,481,385,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13.1,13,12.71,12.75
S285-013,ctd,2019-04-07,10:20:00,-11,2019-04-07T10:20-11,-176.3660,-40.0314,19.06,35.378, 4.42,1137,1000,4208,,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,12.9,13,12.59,12.18
S285-014,ctd,2019-04-07,22:15:00,-11,2019-04-07T22:15-11,-176.4111,-39.7459,19.07,35.235, 3.80,982,300,3932,291,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13,13,12,12.11
S285-015,ctd,2019-04-08,10:08:00,-11,2019-04-08T10:08-11,-175.9403,-39.2239,19.69,35.279, 3.58,,1100,4536,916,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,12.8,12.5,12.06,11.87
S285-016,ctd,2019-04-09,09:40:00,-11,2019-04-09T09:40-11,-175.2767,-38.9973,19.33,35.246, 3.76,1057,1200,4829,914,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,12.7,12.4,11.84,11.62
S285-017,ctd,2019-04-09,22:22:00,-11,2019-04-09T22:22-11,-174.3082,-38.6428,19.99,35.311, 3.49,,400,5187,386,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,12.5,12.4,11.66,11.6
