station,deployment,date,time_in,time_out,zd,dttm,lon,lat,temp,sal,fluor
S285-001,NT,2019-04-01,23:35,00:05,-13,2019-04-01T23:35+13, 173.5536,-43.5616,16.19,34.615,25.49
S285-002,CTD,2019-04-02,10:36,NA,-13,2019-04-02T10:36+13, 174.6170,-43.5510,15.25,34.581,49.49
S285-002,NT,2019-04-02,12:13,12:44,-13,2019-04-02T12:13+13, 174.6170,-43.5152,15.33,34.576,40.87
S285-003,NT,2019-04-02,23:34,00:05,-13,2019-04-02T23:34+13, 175.7961,-43.5828,15.69,34.663,17.86
S285-004,CTD,2019-04-03,03:30,NA,-13,2019-04-03T03:30+13, 176.1967,-43.5979,15.72,34.564,43.33
S285-005,CTD,2019-04-03,10:43,NA,-13,2019-04-03T10:43+13, 176.9620,-43.6324,15.92,34.638,42.49
S285-005,NT,2019-04-03,12:14,12:44,-13,2019-04-03T12:14+13, 176.9559,-43.6127,15.92,34.644,40.33
S285-006,CTD,2019-04-03,22:09,NA,-13,2019-04-03T22:09+13, 177.8284,-43.6905,15.51,34.467,14.04
S285-006,NT,2019-04-04,00:01,00:31,-13,2019-04-04T00:01+13, 177.8344,-43.6903,15.50,34.486,12.27
S285-007,CTD,2019-04-04,10:35,NA,-13,2019-04-04T10:35+13, 179.2200,-43.9192,15.58,34.471,16.06
S285-007,NT,2019-04-04,11:45,12:15,-13,2019-04-04T11:45+13, 179.2197,-43.9187,15.59,34.473,15.13
S285-008,NT,2019-04-04,23:37,00:07,-13,2019-04-04T23:37+13,-179.1289,-44.1862,16.25,34.502,11.63
S285-009,CTD,2019-04-05,10:11,NA,-13,2019-04-05T10:11+13,-177.5557,-44.1113,17.68,34.954, 9.59
S285-009,NT,2019-04-05,11:11,11:41,-13,2019-04-05T11:11+13,-177.5721,-44.1068,17.69,34.959, 8.76
S285-010,CTD,2019-04-05,22:03,NA,-13,2019-04-05T22:03+13,-177.3444,-44.0512,17.54,35.101, 8.12
S285-010,NT,2019-04-05,23:02,23:33,-13,2019-04-05T23:02+13,-177.3533,-44.0578,17.65,35.064, 9.18
S285-011,CTD,2019-04-06,23:14,NA,-13,2019-04-06T23:14+13,-176.3590,-43.1816,17.38,35.158,12.41
S285-012,CTD,2019-04-06,22:47,NA,-13,2019-04-06T22:47+13,-176.3504,-43.1844,17.35,35.153,11.72
S285-012,NT,2019-04-07,00:04,00:34,-13,2019-04-07T00:04+13,-176.3742,-43.1777,17.38,35.160,11.41
S285-013,CTD,2019-04-07,10:20,NA,+11,2019-04-07T10:20-11,-176.3660,-40.0314,19.06,35.378, 4.42
S285-013,NT,2019-04-07,12:06,12:37,+11,2019-04-07T12:06-11,-176.3978,-40.0209,19.07,35.344, 4.26
S285-014,CTD,2019-04-07,22:15,NA,+11,2019-04-07T22:15-11,-176.4111,-39.7459,19.07,35.235, 3.80
S285-014,NT,2019-04-07,23:48,00:18,+11,2019-04-07T23:48-11,-176.3917,-39.7332,19.08,35.226, 4.01
S285-015,CTD,2019-04-08,10:08,NA,+11,2019-04-08T10:08-11,-175.9403,-39.2239,19.69,35.279, 3.58
S285-016,CTD,2019-04-09,9:40,NA,+11,2019-04-09T09:40-11,-175.2767,-38.9973,19.33,35.246, 3.76
S285-016,NT,2019-04-09,11:34,12:04,+11,2019-04-09T11:34-11,-175.2481,-38.9482,19.38,35.233, 3.44
S285-017,CTD,2019-04-09,22:22,NA,+11,2019-04-09T22:22-11,-174.3082,-38.6428,19.99,35.311, 3.49
S285-017,NT,2019-04-09,23:48,00:18,+11,2019-04-09T23:48-11,-174.3021,-38.6278,19.98,35.312, 3.50
