field	name	format	description	unit	decimals
dttm	Date and time	ISO 8601	"Internation standard format for date and time (ISO 8601): yyyy-mm-ddTHH:MM{TZ} where yyyy is 4 digit year, mm is month dd is day, HH is hour, MM is minute. The timezone format {TZ} is either ""Z"" for UTC or, for example, ""-01:00"" for one hour behind UTC"		
date	Date	yyyy-mm-dd			
time	Time	HH:MM			
lon	Longitude	double	Decimal longitude in degrees east	¡E	4
lat	Latitude	double	Decimal latitude in degrees north	¡N	4
temp	Temperature	double	Temperature in degrees C	¡C	2
sal	Salinity	double	Practical Salinity	PSU	3
fluor	Fluoroesence	double	Fluoroescence	V	2
cdom	CDOM	double	Color Dissolved Organic Matter	V	2
xmiss	Transmissivity	double	Transmissivity of seawater	XX	2
wind_sp	Wind Speed	double	Wind speed	m/s	2
wind_dir	Wind Direction	double	Wind Direction - angle from true north that wind is coming from	¡T	1
heading	Ship Heading	double	Direction the ship is pointing in relative to true north	¡T	1
pitch	Ship Pitch	double	Pitch of the ship from vertical	¡	1
roll 	Ship Roll	double	Roll of the ship from vertical	¡	1
bot_depth	Bottom Depth	double	Depth of the seafloor measured by CHIRP	m	1
filename	Filename	character	Origin filename for data that takes in input datasets		
filename_first	First Filename	character	For time averaged data the first input file in the averaging window		
filename_last	Last Filename	character	For time averaged data the last input file in the averaging window		
station	Station	character	ID for the station		
u	East-west velocity	double	E-W Component of a velocity vector (+ve eastwards) 	m/s	2
v	North-south velocity	double	N-S component of a velocity vector (+ve northwards)	m/s	2
w	Vertical velocity	double	Vertical velocity (+ve upwards)	m/s	2
sp	Speed	double	Speed	m/s	2
dir	Direction	double	Direction relative to true north (direction coming from)	¡T	1
err					
backscat					
quality					
percent					
temp					
sound_speed					
cruise					
station					
lon					
lat					
dep					
fluor					
oxygen					
oxygen2					
par					
pres					
sal					
sigtheta					
temp					
theta					
station					
deployment					
date					
time_in					
time_out					
zd					
dttm					
lon					
lat					
temp					
sal					
fluor					
station_distance					
max_tension					
max_wire_out					
bottom_depth					
cast_depth					
voltage_0					
voltage_1					
voltage_2					
voltage_3					
voltage_4					
voltage_5					
ctd_serial_number					
ctd_voltage_in					
ctd_voltage_out					
afm_voltage_in					
afm_voltage_out					
bottle					
chla					
no3					
po4					
sio2					
o2					
ph					
alk					
notes					
depth					
conductivity					
temperature					
pressure					
scan					
fluorescence					
oxygen					
oxygen2					
beamAttenuation					
fluorescence2					
par					
v0					
v1					
v2					
v3					
v4					
v5					
flag					
salinity					
theta					
sigma					
zooplankton_biovol					
biodens					
phylosoma_count					
phylosoma_biovol					
leptocephali_count					
leptocephali_biovol					
myctophid_count					
myctophid_biovol					
cephalopod_count					
cephalopod_biovol					
other_nekton_count					
other_nekton_biovol					
total_nekton_count					
total_nekton_biovol					
nekton_notes					
gelatinous_count					
gelatinous_biovol					
gelatinous_notes					
plastic_pellets					
plastic_pieces					
tar_ball					
halobates_count					
tow_description					
bottom_depth					
cloud_cover					
wave_height					
wave_direction					
wind_speed					
wind_direction					
adcp_bin_1_mag					
adcp_bin_1_dir					
heading					
medusa					
siphonophores					
ctenophore					
salp/doliolids					
pteropods					
nudibranch					
heteropods					
other_snails					
squid_larvae					
polycheate_worms					
chaetognaths					
copepods					
gammarid					
hyperiid					
megalopae					
zoea					
shrimp					
lobster_larvae					
mysid					
euphausid					
stomatopod					
ostracods					
cladocera					
isopods					
fish_larvae					
fish_eggs					
other1					
other2					
other3					
other_description					
moon_phase					
moon_risen					
