station,deployment,date,time_in,time_out,zd,dttm,lon,lat,temp,sal,fluor
C285C-001,HC,2019-06-13,20:30,NA,+4,2019-06-13T20:30-04:00,-70.9971,41.2112,14.03,31.850,1199.00
C285C-002,HC,2019-06-14,02:46,NA,+4,2019-06-14T02:46-04:00,-71.2918,41.0327,14.85,31.909,1067.00
C285C-002,B,2019-06-14,02:59,NA,+4,2019-06-14T02:59-04:00,-71.2968,41.0336,14.86,31.910,1013.00
C285C-002,NT,2019-06-14,03:30,04:00,+4,2019-06-14T03:30-04:00,-71.3145,41.0388,14.79,31.897,1044.00
C285C-003,HC,2019-06-14,09:14,NA,+4,2019-06-14T09:14-04:00,-71.4985,41.0534,14.75,31.927, 858.00
C285C-003,NT,2019-06-14,10:30,11:01,+4,2019-06-14T10:30-04:00, 10.0000,20.0000,   NA,    NA,     NA
C285C-004,HC,2019-06-14,14:35,NA,+4,2019-06-14T14:35-04:00,-71.5008,41.2838,15.41,31.020,1069.00
C285C-005,HC,2019-06-14,20:35,NA,+4,2019-06-14T20:35-04:00,-71.0622,41.0370,14.84,31.997,1075.00
C285C-005,B,2019-06-14,20:45,NA,+4,2019-06-14T20:45-04:00,-71.0601,41.0383,14.88,31.993,1047.00
C285C-005,NT,2019-06-14,22:11,22:40,+4,2019-06-14T22:11-04:00,-71.0590,41.0721,14.58,31.955, 947.00
C285C-006,HC,2019-06-15,03:54,NA,+4,2019-06-15T03:54-04:00,-70.8907,41.2104,14.62,31.183, 874.00
C285C-006,NT,2019-06-15,05:02,05:30,+4,2019-06-15T05:02-04:00,-70.9015,41.2537,14.69,31.208, 964.00
C285C-007,HC,2019-06-15,11:13,NA,+4,2019-06-15T11:13-04:00,-70.9271,41.4699,16.71,31.424,1529.00
C285C-007,B,2019-06-15,11:52,NA,+4,2019-06-15T11:52-04:00,-70.9414,41.4636,16.82,31.430,1334.00
C285C-007,NT,2019-06-15,12:30,13:01,+4,2019-06-15T12:30-04:00,-70.9697,41.4529,16.95,31.404,1354.00
